run,path_length
0,761
1,303
2,1059
3,921
4,223
5,197
6,217
7,305
8,87
9,87
10,175
11,115
12,191
13,263
14,91
15,41
16,63
17,127
18,109
19,123
20,175
21,77
22,101
23,95
24,95
25,35
26,51
27,71
28,37
29,65
30,37
31,57
32,59
33,61
34,55
35,71
36,119
37,63
38,35
39,61
40,55
41,119
42,63
43,51
44,29
45,43
46,39
47,59
48,57
49,53
50,41
51,45
52,37
53,73
54,37
55,49
56,31
57,67
58,37
59,61
60,51
61,49
62,67
63,77
64,65
65,41
66,51
67,49
68,41
69,47
70,57
71,79
72,63
73,35
74,59
75,47
76,37
77,49
78,35
79,51
80,43
81,55
82,65
83,33
84,37
85,35
86,47
87,33
88,43
89,43
90,27
91,49
92,37
93,45
94,37
95,33
96,65
97,49
98,35
99,51
